順序,測試ID,項目,證據檔名,結果（PASS/FAIL/BLOCKED/NA）,備註,測試者,日期（含時區）
13,CM6-013,藍牙乾淨首開自動可用,board/CM6-013-fresh-bluetooth.txt;board/CM6-013-services.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
14,CM6-014,藍牙開關、閒置及掃描,board/CM6-014-toggle-scan.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
15,CM6-015,藍牙配對、重新連線及傳輸,board/CM6-015-pair.txt;board/CM6-015-transfer.sha256,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
16,CM6-016,音訊輸出、輸入與路由,board/CM6-016-audio-devices.txt;board/CM6-016-audio-observation.md;board/CM6-016-capture.wav,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
17,CM6-017,128 GB NVMe 唯讀三段校驗,board/CM6-017/identity.txt;board/CM6-017/smart-before.json;board/CM6-017/smart-after.json;board/CM6-017/kernel-after.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
18,CM6-018,256 GB NVMe 唯讀三段校驗,board/CM6-018/identity.txt;board/CM6-018/smart-before.json;board/CM6-018/smart-after.json;board/CM6-018/kernel-after.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
19,CM6-019,256 GB NVMe 既有 ext4 暫存檔讀寫,board/CM6-019-authorization.md;board/CM6-019-expected.sha256;board/CM6-019-actual.sha256;board/CM6-019-result.txt;board/CM6-019-cleanup.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
20,CM6-020,GPU 硬體離屏像素比對,board/CM6-020-gpu.txt;board/CM6-020-exit.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
21,CM6-021,AI CPU 數值對照,board/CM6-021-022-v2/summary.json;board/CM6-021-022-v3/summary.json;board/CM6-021-022-v4/summary.json;board/CM6-021-022-v5/summary.json,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
22,CM6-022,AI SpaceMIT 實際計算派發,board/CM6-021-022-v2/summary.json;board/CM6-021-022-v3/summary.json;board/CM6-021-022-v4/summary.json;board/CM6-021-022-v5/summary.json,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。 同時交付各結果目錄內全部逐節點 profile。,,
23,CM6-023,原 rc3 相機配置與第一路,board/CM6-023-stock-camera.txt;board/CM6-023-sensor0-stock/summary.json,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。 原版第二路已知缺配置；原版與候選不得混算。,,
24,CM6-024,相機候選冷開、下一次回復及第一路,host/CM6-024-candidate-cold.uart.bin;board/CM6-024-live-camera.txt;board/CM6-024-next-boot-restored.sha256;board/CM6-024-sensor0-candidate/summary.json,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
25,CM6-025,候選第二路 IMX415 單路,board/CM6-025-sensor2/summary.json;board/CM6-025-sensor2/kernel-after.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
26,CM6-026,候選雙路、停止與無重置再開,board/CM6-026-dual/summary.json;board/CM6-026-dual/kernel-before.txt;board/CM6-026-dual/kernel-after.txt;board/CM6-026-reopen/summary.json,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
27,CM6-027,兩路畫質與目標幀率,photos/CM6-027-port0-preview.png;photos/CM6-027-port1-preview.png;board/CM6-027-quality.md,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
28,CM6-028,空載、負載溫度及降頻,board/CM6-028-idle.txt;board/CM6-028-gpu.txt;board/CM6-028-ai-v2.txt;board/CM6-028-camera-dual.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
29,CM6-029,30 秒雙 worker CPU 短測,board/CM6-029-short-stress/summary.json;board/CM6-029-short-stress/temperature.csv;board/CM6-029-exit.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
30,CM6-030,暖重啟與回歸,host/CM6-030-reboot.uart.bin;board/CM6-030-before-boot-id.txt;board/CM6-030-after-boot-id.txt;board/CM6-030-regression.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
31,CM6-031,三次正常斷電冷開,host/CM6-031-cold-01.uart.bin;host/CM6-031-cold-02.uart.bin;host/CM6-031-cold-03.uart.bin;board/CM6-031-cold-01-state.txt;board/CM6-031-cold-02-state.txt;board/CM6-031-cold-03-state.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
32,CM6-032,正常關機與清理,host/CM6-032-poweroff.uart.bin;host/CM6-032-observation.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
33,CM6-033,回退或復原啟動演練,host/CM6-033-recovery.uart.bin;board/CM6-033-restored-state.txt,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
34,CM6-034,證據封存、缺陷與最終簽核,SHA256SUMS;verification.txt;signoff.md;results.csv,BLOCKED,尚未依本手冊執行；依原始證據填寫，不可沿用歷史 PASS。,,
