board_id	status	board_name	family	architecture	kernel_targets	preferred_target	video_output	batch	evidence_level	bootconfig	boot_fdt_file	field_gaps	next_gate
bananapiforge1	wip	Banana Pi BPI-Forge1	rockchip	armhf	vendor	vendor	yes	E	L2	forge1-rk3506j_defconfig	rk3506b-bananapi-forge1.dtb		完成冷啟動、雙網路、USB gadget、顯示、CAN、音訊與 40-pin 實測
bananapim1plus	csc	Banana Pi M1+	sun7i	armhf	current,edge,legacy	current	yes	C	L2	bananapi_m1_plus_defconfig		BOARD_MAINTAINER	完成 SD、GbE、SATA、Wi-Fi、Bluetooth、USB 與 40-pin 實測
bananapim1super	wip	Banana Pi M1 Super	rk35xx	arm64	vendor	vendor	yes	E	L2	bananapi-m1-super-rk3528_defconfig	rockchip/rk3528-bananapi-m1-super.dtb		釐清量產無線 BOM 與韌體授權，再完成 SD／eMMC、網路、無線、顯示、GPU、VPU、USB 與 40-pin 實測
bananapim2	csc	Banana Pi M2	sun6i	armhf	current,legacy	current	yes	C	L2	Sinovoip_BPI_M2_defconfig		BOARD_MAINTAINER	完成 SD、eMMC、Wi-Fi、Bluetooth、HDMI、USB 與 40-pin 實測
bananapim2berry	csc	Banana Pi M2 Berry	sun8i	armhf	current,edge,legacy	current	yes	C	L2	bananapi_m2_berry_defconfig		BOARD_MAINTAINER	完成 SD／eMMC、SATA、GbE、無線網路、USB、顯示與 40-pin 實測
bananapim2c	wip	Banana Pi M2C	unisoc-uis7885-bpi	arm64	vendor	vendor	yes	F	L0				整理 41 組差異與 6,751 個未分類檔，閉合簽署鏈後建立可重放映像
bananapim2magic	csc	Banana Pi M2 Magic	sun8i	armhf	current,edge,legacy	current	yes	C	L2	Bananapi_m2m_defconfig	allwinner/sun8i-r16-bananapi-m2m.dtb	BOARD_MAINTAINER	完成 SD／eMMC、Wi-Fi、Bluetooth、OTG、音訊與 Lima／Cedrus 實測
bananapim2plus	conf	Banana Pi M2+	sun8i	armhf	current,edge,legacy	current	yes	B	L2	bananapi_m2_plus_h3_defconfig			完成無線網路、Bluetooth、HDMI、USB、GPIO 與長時間負載實測
bananapim2pro	conf	Banana Pi M2Pro	meson-sm1	arm64	current,edge	current	yes	A	L2	bananapi-m2-pro_defconfig	amlogic/meson-sm1-bananapi-m2-pro.dtb		完成 SD／eMMC、GbE、HDMI、USB 與 40-pin 的實機回歸矩陣
bananapim2s	conf	Banana Pi M2S	meson-g12b	arm64	current,edge	current	yes	A	L2	bananapi-m2s_defconfig	amlogic/meson-g12b-a311d-bananapi-m2s.dtb		完成 SD／eMMC、網路、USB、顯示與重新啟動實機回歸
bananapim2ultra	csc	Banana Pi M2 Ultra	sun8i	armhf	current,edge,legacy	current	yes	C	L2	Bananapi_M2_Ultra_defconfig		BOARD_MAINTAINER	完成 SD／eMMC、SATA、GbE、無線網路、USB、顯示與 40-pin 實測
bananapim2zero	csc	Banana Pi M2 Zero	sun8i	armhf	current,edge,legacy	current	yes	C	L2	bananapi_m2_zero_defconfig			完成 SD、Wi-Fi、Bluetooth、USB OTG、HDMI、Lima、Cedrus 與 40-pin 實測
bananapim3	csc	Banana Pi M3	sun8i	armhf	current,edge,legacy	current	yes	C	L2	Sinovoip_BPI_M3_defconfig	allwinner/sun8i-a83t-bananapi-m3.dtb		完成 SD／eMMC、GbE、Wi-Fi、Bluetooth、USB OTG、HDMI 與音訊實測
bananapim4	wip	Banana Pi M4	realtek-rtd139x-bpi	arm64	legacy	legacy	yes	F	L2	rtd1395_bananapi_defconfig	realtek/rtd139x/rtd-1395-bananapi-m4-2GB.dtb		閉合不透明啟動與音訊載荷、工具鏈再散布授權，再完成 SD／eMMC、網路、USB、HDMI、GPU、VPU、無線與 40-pin 實測
bananapim4berry	conf	BananaPi M4 Berry	sun50iw9-bpi	arm64	current,edge	current	yes	R	L2	bananapi_m4_berry_defconfig	sun50i-h618-bananapi-m4-berry.dtb		以 2／4 GiB 多板完成冷啟動、Wi-Fi、Bluetooth、GPU、VPU、USB、40-pin 與長時間壓力實測
bananapim4super	wip	Banana Pi M4 Super（ArmSoM Sige3 donor-only）	rk35xx	arm64	vendor	vendor	yes	E	L0	armsom-sige3-rk3568_defconfig	rockchip/rk3568-armsom-sige3.dtb		取得原理圖、量產 BOM 與 PCIe lane 資料，完成專屬 DTS 後再建置候選
bananapim4zero	conf	BananaPi BPI-M4-Zero	sun50iw9-bpi	arm64	current,edge	current	yes	R	L2	bananapi_m4zero_defconfig	sun50i-h618-bananapi-m4-zero.dtb		以 2／4 GiB 多批次板完成冷啟動、DDR 壓力、儲存、網路、顯示、媒體與 40-pin 實測
bananapim5	conf	Banana Pi M5	meson-sm1	arm64	current,edge	current	yes	A	L2	bananapi-m5_defconfig	amlogic/meson-sm1-bananapi-m5.dtb		以多家 eMMC 樣品完成冷啟動、重新啟動、關機、HDMI、USB 主機與網路實測
bananapim5pro	conf	Banana Pi M5 Pro	rk35xx	arm64	edge,vendor	edge	yes	B	L2	bananapi-m5-pro-rk3576_defconfig	rockchip/rk3576-bananapi-m5-pro.dtb	KERNEL_TEST_TARGET	完成儲存、網路、無線、顯示、GPU、VPU、RGA、NPU 與 40-pin 實測
bananapim6	wip	Banana Pi M6	vs680	arm64	legacy	legacy	yes	F	L2	vs680_oemboot_c05_defconfig	synaptics/vs680-a0-bananapi-m6.dtb		固定最終核心設定與專有啟動載荷邊界，完成來源一致的完整映像守門
bananapim64	csc	Banana Pi M64	sun50iw1	arm64	current,edge,legacy	current	yes	C	L2	bananapi_m64_defconfig	allwinner/sun50i-a64-bananapi-m64.dtb		完成 SD／eMMC、GbE、Wi-Fi、Bluetooth、USB OTG、HDMI、Lima 與 Cedrus 實測
bananapim7	conf	Banana Pi M7	rockchip-rk3588	arm64	current,edge,vendor	current	yes	B	L2	armsom-sige7-rk3588_defconfig	rockchip/rk3588-bananapi-m7.dtb		完成儲存、網路、顯示、媒體、NPU、USB 與 40-pin 實測
bananapip2pro	wip	Banana Pi P2 Pro	rockchip64	arm64	current	current	no	E	L2	bpi-p2-pro-rk3308_defconfig	rockchip/rk3308-bpi-p2-pro.dtb	KERNEL_TEST_TARGET	完成 SD／eMMC、SDIO、網路、音訊、USB 與 40-pin 實測
bananapip2zero	csc	Banana Pi P2 Zero	sun8i	armhf	current,edge,legacy	current	yes	C	L2	bananapi_p2_zero_defconfig	allwinner/sun8i-h2-plus-bananapi-p2-zero.dtb	BOARD_MAINTAINER	完成 SD／eMMC、Ethernet、USB、顯示、Lima、Cedrus 與 40-pin 實測
bananapipro	csc	Banana Pi Pro	sun7i	armhf	current,edge,legacy	current	yes	C	L2	Bananapro_defconfig		BOARD_MAINTAINER	完成 SD 冷啟動、GbE、SATA、USB 與 40-pin 外接迴路實測
bananapir1	eos	Banana Pi R1	sun7i	armhf	current,edge	current	yes	G	L2	Lamobo_R1_defconfig		BOARD_MAINTAINER,KERNEL_TEST_TARGET	保留最後可用封存基線與安全限制，不列入新發布
bananapir2	csc	Banana Pi R2	mt7623	armhf	current	current	yes	D	L2	mt7623n_bpir2_defconfig	mt7623n-bananapi-bpi-r2.dtb		取得五個啟動載荷的再散布核准，再完成 eMMC、網路、SATA、USB 與交換器實測
bananapir2pro	csc	Banana Pi R2 Pro	rockchip64	arm64	current,edge	current	yes	D	L2	bpi-r2-pro-rk3568_defconfig	rockchip/rk3568-bpi-r2-pro.dtb		完成 SD／eMMC、雙網路、SATA、PCIe、USB、顯示、媒體與 40-pin 實測
bananapir3	wip	Banana Pi R3	filogic	arm64	current	current	no	D	L2	mt7986a_bpir3_sd_defconfig	mediatek/mt7986a-bananapi-bpi-r3-sd-nor.dtb	BOARD_MAINTAINER	完成 SD／NOR、雙網路、SFP、SATA、PCIe、USB、無線與長時間流量實測
bananapir3mini	wip	Banana Pi R3 Mini	filogic	arm64	current	current	no	D	L2	mt7986a_bpir3mini_emmc_defconfig	mediatek/mt7986a-bananapi-bpi-r3-mini.dtb		釐清 ATF MT7986 DRAM 物件再散布範圍，再做空白 eMMC 的 boot0 分離寫入、boot partition enable、冷啟動及網路功能實測
bananapir4	csc	Banana Pi R4	filogic	arm64	current	current	no	D	L2	mt7988a_bananapi_bpi-r4-sdmmc_defconfig	mediatek/mt7988a-bananapi-bpi-r4-sd.dtb	BOARD_MAINTAINER	完成 SD／NOR、2.5GbE、SFP、PCIe、USB、Wi-Fi 7 與長時間流量實測
bananapir4lite	wip	Banana Pi R4 Lite	filogic	arm64	current	current	no	D	L2	mt7987a_bananapi_bpi-r4-lite-sdmmc_defconfig	mediatek/mt7987a-bananapi-bpi-r4-lite-sd.dtb		先驗證候選核心穩定性，再完成 2.5GbE、SFP、PCIe、USB 與長時間流量實測
bananapir4pro	wip	Banana Pi R4 Pro 8X	filogic	arm64	current	current	no	D	L2	mt7988a_bananapi_bpi-r4-pro-8x-sdmmc_defconfig	mediatek/mt7988a-bananapi-bpi-r4-pro-8x-sd.dtb		完成候選核心與預編譯 ATF 邊界審查，再做網路、SFP、PCIe、USB 與無線實測
bananapir64	csc	Banana Pi R64	filogic	arm64	current	current	no	D	L2	mt7622_bananapi_bpi-r64-sdmmc_defconfig	mediatek/mt7622-bananapi-bpi-r64.dtb	BOARD_MAINTAINER	完成 SD、GbE、DSA、SATA、PCIe、USB、Wi-Fi、Bluetooth 與 GPIO90 實測
bananapism10	wip	BananaPi BPI-SM10	spacemit-k3-bpi	riscv64	current	current	yes	F	L2		spacemit/k3-bananapi-sm10.dtb		閉合 ESOS、PowerVR、VPU 韌體及三個執行期預建資產的再散布授權，再完成 SD 冷啟動、儲存、網路、USB、顯示、GPU、VPU、NPU 與排針實測
bananapiw2	wip	Banana Pi W2	realtek-rtd129x-bpi	arm64	legacy	legacy	yes	F	L2	rtd1296_sd_bananapi_defconfig	realtek/rtd129x/rtd-1296-bananapi-w2-2GB.dtb		閉合四個靜態庫、bluecore.audio 與工具鏈再散布授權，再完成 SD／eMMC、SATA、PCIe、網路、USB、顯示、音訊及 40-pin 實測
bananapiw3	wip	Banana Pi W3	rockchip-rk3588	arm64	vendor	vendor	yes	E	L2	bananapi-w3-rk3588_defconfig	rockchip/rk3588-bananapi-w3.dtb		完成冷啟動、儲存、網路、無線、顯示、GPU、VPU、RGA 與 NPU 實測
bpi-ai2n	conf	Banana Pi AI2N	renesas-rzv2n-bpi	arm64	legacy	legacy	yes	B	L2	bananapi_ai2n_defconfig	renesas/bananapi-ai2n.dtb		完成 SD 冷啟動、雙網路、USB、PCIe、顯示、相機、Panfrost、DRP-AI 與 40-pin 實測
